,day,precipitation,temp_max,temp_avg,temp_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,pressure_max,pressure_avg,pressure_min
0,1,0.00,84,58.2,0,63,49.5,0,88,58.5,0,16,8.4,0,25.1,20.8,0.0
1,2,0.00,86,60.6,0,64,49.7,0,88,57.4,0,14,8.3,0,25.2,21.5,0.0
2,3,0.00,82,67.8,0,63,57.1,0,88,66.8,0,14,7.4,0,25.2,24.1,0.0
3,4,0.00,82,62.4,0,66,55.0,0,94,68.6,0,16,5.0,0,25.2,22.4,0.0
4,5,0.00,82,62.0,0,68,56.2,0,94,71.7,0,12,4.5,0,25.2,22.3,0.0
5,6,0.00,86,72.2,64,66,61.6,54,94,72.9,33,14,8.7,0,25.3,25.2,25.2
6,7,0.00,88,74.7,63,59,55.0,45,88,54.9,27,18,11.7,5,25.3,25.3,25.2
7,8,0.00,88,71.2,0,61,54.6,0,94,57.3,0,14,9.3,5,25.3,24.2,0.0
8,9,0.00,84,72.8,64,64,61.4,57,88,69.7,40,16,6.2,0,25.3,25.2,25.1
9,10,0.00,84,72.8,63,64,62.4,61,94,72.0,45,16,7.9,0,25.3,25.2,25.1
10,11,0.00,86,72.5,66,66,63.5,57,94,76.0,42,12,5.5,0,25.3,25.2,25.1
11,12,0.00,81,70.8,63,63,60.4,57,94,71.7,47,21,8.7,0,25.3,24.2,0.0
12,13,0.00,84,67.8,0,63,55.7,0,94,65.4,0,16,7.4,0,25.3,15.2,0.0
13,14,0.00,81,71.3,63,64,61.4,57,94,73.5,45,16,7.2,2,25.3,25.2,25.2
14,15,0.00,82,69.2,0,66,61.0,0,94,72.7,0,14,5.8,0,25.3,24.1,0.0
15,16,0.00,88,70.6,0,64,56.8,0,94,63.1,0,16,8.1,0,25.3,24.2,0.0
16,17,0.00,84,71.1,63,64,58.2,52,94,66.8,33,14,8.1,5,25.3,25.3,25.2
17,18,0.00,82,70.6,61,64,59.1,55,88,70.2,42,14,7.5,0,25.3,25.3,25.2
18,19,0.00,79,70.1,64,64,60.6,55,94,74.1,44,18,8.8,0,25.3,25.2,25.2
19,20,0.00,81,69.4,61,64,60.5,55,94,75.9,44,14,8.0,0,25.3,25.2,25.1
20,21,0.00,81,60.3,0,64,52.0,0,94,63.1,0,14,6.9,0,25.3,21.6,0.0
21,22,0.00,82,66.3,0,64,58.2,0,100,70.2,0,16,7.0,2,25.3,23.3,0.0
22,23,0.00,82,71.8,64,64,60.8,57,94,70.2,42,18,10.2,0,25.3,25.2,25.1
23,24,0.00,84,69.3,0,66,58.5,0,94,67.6,0,16,7.5,0,25.3,24.2,0.0
24,25,0.00,82,65.5,0,68,58.5,0,94,72.5,0,16,8.0,0,25.3,23.3,0.0
25,26,0.00,86,61.5,0,64,52.1,0,94,61.8,0,14,7.8,0,25.3,21.6,0.0
26,27,0.00,81,70.0,61,61,56.2,48,94,64.9,37,18,13.2,9,25.3,25.3,25.2
27,28,0.00,81,67.2,0,63,54.8,0,88,63.6,0,14,9.2,0,25.3,24.3,0.0
28,29,0.00,82,67.5,0,64,59.1,0,94,73.0,0,16,7.4,0,25.3,24.2,0.0
29,30,0.00,81,70.5,63,64,60.4,55,100,71.8,48,18,10.5,0,25.3,25.2,25.2
