,day,precipitation,temp_max,temp_avg,temp_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,pressure_max,pressure_avg,pressure_min
0,1,0.00,75,57.1,0,59,50.0,0,94,68.9,0,18,14.3,9,25.3,22.5,0.0
1,2,0.00,73,62.0,0,57,52.8,0,94,70.5,0,21,15.0,9,25.3,24.3,0.0
2,3,0.00,77,66.8,59,61,57.1,55,94,73.4,53,14,9.8,0,25.3,25.3,25.2
3,4,0.00,75,67.2,61,61,58.9,55,94,76.2,50,21,15.4,9,25.4,25.3,25.3
4,5,0.00,72,61.0,0,59,53.8,0,94,75.0,0,23,18.4,0,25.4,24.4,0.0
5,6,0.00,68,59.9,0,59,52.0,0,94,73.1,0,25,20.2,14,25.4,24.3,0.0
6,7,0.00,70,59.9,0,54,50.2,0,82,66.8,0,25,18.9,0,25.4,24.3,0.0
7,8,0.00,72,57.5,0,55,49.0,0,94,68.0,0,28,20.9,16,25.4,23.3,0.0
8,9,0.00,72,60.8,52,55,51.8,48,94,74.6,46,23,17.1,14,25.4,24.3,0.0
9,10,0.00,70,58.3,0,55,51.0,0,88,73.4,0,23,16.3,12,25.4,24.2,0.0
10,11,0.00,73,63.8,57,59,55.2,52,94,75.4,53,18,13.1,9,25.4,25.3,25.3
11,12,0.00,75,62.0,0,59,54.3,0,94,74.2,0,23,14.9,9,25.4,24.3,0.0
12,13,0.00,72,59.9,0,59,52.7,0,94,72.0,0,21,16.1,12,25.4,23.4,0.0
13,14,0.00,72,64.1,59,59,56.9,54,94,79.3,57,21,14.5,0,25.3,25.3,25.3
14,15,0.00,73,64.9,59,59,57.6,55,100,79.2,57,18,14.5,12,25.4,25.3,25.3
15,16,0.00,70,62.9,59,59,57.0,55,94,82.4,64,21,16.6,12,25.4,25.4,25.3
16,17,0.00,73,61.0,0,57,53.5,0,94,74.3,0,21,13.8,9,25.4,24.3,0.0
17,18,0.00,73,62.3,57,57,53.7,50,94,75.6,47,23,15.7,7,25.4,25.4,25.3
18,19,0.00,73,62.7,55,55,53.6,52,94,73.6,50,18,15.2,12,25.4,25.3,25.3
19,20,0.00,77,59.8,0,66,50.4,0,94,68.7,0,16,8.4,0,25.3,23.9,0.0
20,22,0.00,68,48.1,0,61,45.5,0,100,66.5,0,7,5.0,0,25.3,19.0,0.0
21,23,0.00,77,50.3,0,61,44.4,0,100,60.5,0,12,4.6,0,25.3,19.4,0.0
22,24,0.00,73,64.2,57,61,54.7,52,94,72.5,50,25,16.9,7,25.4,25.3,25.3
23,25,0.00,73,61.5,54,54,51.6,48,88,71.2,50,18,15.9,12,25.3,25.3,25.0
24,26,0.00,70,60.6,54,54,52.4,52,94,75.1,53,21,17.3,12,25.4,25.3,25.3
25,27,0.00,70,59.8,54,68,51.5,48,94,75.0,53,21,16.8,12,25.4,25.4,25.3
26,28,0.00,70,57.6,50,57,47.1,43,88,70.7,40,23,17.9,12,25.4,25.3,25.3
27,29,0.00,68,57.8,50,52,47.9,45,94,71.4,49,23,18.5,12,25.4,25.3,25.3
28,30,0.00,70,59.0,52,52,47.9,43,88,68.0,46,23,17.8,9,25.4,25.3,25.3
29,31,0.00,70,57.6,0,54,49.6,0,94,72.3,0,18,14.9,0,25.4,24.3,0.0
